NBCC PGA values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-108.62,59.57,PGA,0.0008,0.0012,0.0018,0.0043,0.0085,0.0155,0.0264,0.0311,0.0519,0.0815,174,Uranium City,SK
-103.85,49.67,PGA,0.0013,0.0028,0.0047,0.015,0.0327,0.0614,0.1021,0.118,0.1866,0.2829,175,Weyburn,SK
-102.47,51.22,PGA,0.0011,0.0019,0.003,0.0064,0.0122,0.0203,0.0317,0.0362,0.0559,0.0841,176,Yorkton,SK
-96.517,50.067,PGA,0.0007,0.0012,0.0018,0.0045,0.009,0.0164,0.0277,0.0324,0.0534,0.0835,177,Beausejour,MB
-100.05,49.233,PGA,0.0008,0.0015,0.0023,0.0054,0.0108,0.0183,0.0292,0.0336,0.0538,0.0828,178,Boissevain,MB
-99.95,49.833,PGA,0.0006,0.001,0.0016,0.0041,0.0083,0.0155,0.0266,0.0314,0.0526,0.0828,179,Brandon,MB
-94.12,58.75,PGA,0.0009,0.0014,0.002,0.0046,0.0088,0.0158,0.0263,0.0308,0.0512,0.0829,180,Churchill,MB
-100.05,51.15,PGA,0.001,0.0015,0.0023,0.0052,0.0099,0.0169,0.0274,0.0319,0.0525,0.0827,181,Dauphin,MB
-101.88,54.77,PGA,0.001,0.0015,0.0022,0.0048,0.009,0.0158,0.0266,0.0312,0.0522,0.0827,182,Flin Flon,MB
-96.99,50.64,PGA,0.0007,0.0012,0.0018,0.0045,0.0089,0.0162,0.0271,0.0318,0.0528,0.0834,183,Gimli,MB
